date,block,block_hash,block_time,vault,vault_address,numeraire,reported,par,feeds,par_bps,feeds_bps,reported_age_seconds,main_reported_age_seconds,feed_ages_seconds,reported_sources,valuation_sources,feed_sources,main_reported_sources,assumptions,limitations,acquisition_mode,run_path
"2026-08-21","25806958","0xbbfaa4fcf345adbe0f3139c547cdb3b5dc1a4c2df7dcff405751fd1e059cdf28","2026-08-21T23:59:59Z","goUSDC","0xFB3d942B51d11Ea088631D8d33c6f34968eE2076","USDC","1.000000","1.000000","1.000000","0.00","0.00","3660","3348","{""USDS"":""27048"",""USDT"":""16320""}","[""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""]}","{""USDS"":[""call-0017"",""call-0018""],""USDT"":[""call-0019"",""call-0020""]}","[""call-0021"",""call-0022"",""call-0023"",""call-0024""]","[""USDC/USD is unsourced. The feeds valuation assumes one USD per USDC for the feeder numeraire (ADR-006); this is an assumption, with no feed or feed age.""]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""],""vault"":[""Held main units use the recomputed main NAV at this block, including its disclosed valuation limits."",""Idle USDC uses the operator-authorized par fallback in both valuations."",""Held-unit value is floored to USDS base units, then converted and floored to feeder numeraire base units."",""Market risk and debt sensitivity describe the underlying main vault; they are not direct feeder borrowings.""]}","live","2026-08-21/goUSDC/attempt-22fa14eb4285445abfd50d63384eea8f/goUSDC-25806958"
"2026-08-22","25814126","0xa12dad3daceefbf67c3b8187dad19e6da1e7d104a36a233c92e4e0726b62a555","2026-08-22T23:59:59Z","goUSDC","0xFB3d942B51d11Ea088631D8d33c6f34968eE2076","USDC","1.000000","1.000000","1.000000","0.00","0.00","1656","1656","{""USDS"":""30612"",""USDT"":""16296""}","[""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""]}","{""USDS"":[""call-0017"",""call-0018""],""USDT"":[""call-0019"",""call-0020""]}","[""call-0021"",""call-0022"",""call-0023"",""call-0024""]","[""USDC/USD is unsourced. The feeds valuation assumes one USD per USDC for the feeder numeraire (ADR-006); this is an assumption, with no feed or feed age.""]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""],""vault"":[""Held main units use the recomputed main NAV at this block, including its disclosed valuation limits."",""Idle USDC uses the operator-authorized par fallback in both valuations."",""Held-unit value is floored to USDS base units, then converted and floored to feeder numeraire base units."",""Market risk and debt sensitivity describe the underlying main vault; they are not direct feeder borrowings.""]}","live","2026-08-22/goUSDC/attempt-b4b25d19dffb46ea971924e3c7bf5878/goUSDC-25814126"
"2026-08-23","25821305","0x9367015d21f9f83bf7fb25cc18bdf8b6c0dc6ba83121067c45c087d86d86d81d","2026-08-23T23:59:59Z","goUSDC","0xFB3d942B51d11Ea088631D8d33c6f34968eE2076","USDC","1.000000","1.000000","1.000000","0.00","0.00","3708","228","{""USDS"":""34176"",""USDT"":""16284""}","[""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""]}","{""USDS"":[""call-0017"",""call-0018""],""USDT"":[""call-0019"",""call-0020""]}","[""call-0021"",""call-0022"",""call-0023"",""call-0024""]","[""USDC/USD is unsourced. The feeds valuation assumes one USD per USDC for the feeder numeraire (ADR-006); this is an assumption, with no feed or feed age.""]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""],""vault"":[""Held main units use the recomputed main NAV at this block, including its disclosed valuation limits."",""Idle USDC uses the operator-authorized par fallback in both valuations."",""Held-unit value is floored to USDS base units, then converted and floored to feeder numeraire base units."",""Market risk and debt sensitivity describe the underlying main vault; they are not direct feeder borrowings.""]}","live","2026-08-23/goUSDC/attempt-1aaf15eb629a4f85853af475bed75549/goUSDC-25821305"
"2026-08-24","25828483","0x45e78487511b3b9a431e516e784de488c8315cc4315c33acfdba8a8926988f81","2026-08-24T23:59:59Z","goUSDC","0xFB3d942B51d11Ea088631D8d33c6f34968eE2076","USDC","1.000000","1.000000","1.000000","0.00","0.00","480","1104","{""USDS"":""37752"",""USDT"":""16272""}","[""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""]}","{""USDS"":[""call-0017"",""call-0018""],""USDT"":[""call-0019"",""call-0020""]}","[""call-0021"",""call-0022"",""call-0023"",""call-0024""]","[""USDC/USD is unsourced. The feeds valuation assumes one USD per USDC for the feeder numeraire (ADR-006); this is an assumption, with no feed or feed age.""]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""],""vault"":[""Held main units use the recomputed main NAV at this block, including its disclosed valuation limits."",""Idle USDC uses the operator-authorized par fallback in both valuations."",""Held-unit value is floored to USDS base units, then converted and floored to feeder numeraire base units."",""Market risk and debt sensitivity describe the underlying main vault; they are not direct feeder borrowings.""]}","live","2026-08-24/goUSDC/attempt-fb8257ceb5b14a80ae9e0ada730167d5/goUSDC-25828483"
"2026-08-25","25835657","0x8643113fc704a773c275b8fa53084941e5db67ff9a35336602e691ee56d75e5a","2026-08-25T23:59:59Z","goUSDC","0xFB3d942B51d11Ea088631D8d33c6f34968eE2076","USDC","1.000000","1.000000","1.000000","0.00","0.00","2892","3708","{""USDS"":""41340"",""USDT"":""16248""}","[""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036""]}","{""USDS"":[""call-0018"",""call-0019""],""USDT"":[""call-0020"",""call-0021""]}","[""call-0022"",""call-0023"",""call-0024"",""call-0025""]","[""USDC/USD is unsourced. The feeds valuation assumes one USD per USDC for the feeder numeraire (ADR-006); this is an assumption, with no feed or feed age.""]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""],""vault"":[""Held main units use the recomputed main NAV at this block, including its disclosed valuation limits."",""Idle USDC uses the operator-authorized par fallback in both valuations."",""Held-unit value is floored to USDS base units, then converted and floored to feeder numeraire base units."",""Market risk and debt sensitivity describe the underlying main vault; they are not direct feeder borrowings.""]}","live","2026-08-25/goUSDC/attempt-5128a40ba4354188a3a666f48a128c03/goUSDC-25835657"
"2026-08-26","25842829","0x94aad9c666f9e74404dc80662127154cef6bb0cc9b28e583b20cd2108154aa55","2026-08-26T23:59:59Z","goUSDC","0xFB3d942B51d11Ea088631D8d33c6f34968eE2076","USDC","0.990732","0.998305","0.997886","76.44","72.21","1212","2040","{""USDS"":""44904"",""USDT"":""16236""}","[""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037""]}","{""USDS"":[""call-0019"",""call-0020""],""USDT"":[""call-0021"",""call-0022""]}","[""call-0023"",""call-0024"",""call-0025"",""call-0026""]","[""USDC/USD is unsourced. The feeds valuation assumes one USD per USDC for the feeder numeraire (ADR-006); this is an assumption, with no feed or feed age.""]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""],""vault"":[""Held main units use the recomputed main NAV at this block, including its disclosed valuation limits."",""Idle USDC uses the operator-authorized par fallback in both valuations."",""Held-unit value is floored to USDS base units, then converted and floored to feeder numeraire base units."",""Market risk and debt sensitivity describe the underlying main vault; they are not direct feeder borrowings.""]}","live","2026-08-26/goUSDC/attempt-da5fa46cf2054ebc9421bcc305838248/goUSDC-25842829"
"2026-08-27","25850009","0x69999ae658e1c3d736f9f883896d37709cf633ba3d9cc48e0efa693c639ce522","2026-08-27T23:59:59Z","goUSDC","0xFB3d942B51d11Ea088631D8d33c6f34968eE2076","USDC","0.990148","0.990805","0.990637","6.64","4.94","3216","444","{""USDS"":""48468"",""USDT"":""16224""}","[""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036"",""call-0037""]}","{""USDS"":[""call-0019"",""call-0020""],""USDT"":[""call-0021"",""call-0022""]}","[""call-0023"",""call-0024"",""call-0025"",""call-0026""]","[""USDC/USD is unsourced. The feeds valuation assumes one USD per USDC for the feeder numeraire (ADR-006); this is an assumption, with no feed or feed age.""]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""],""vault"":[""Held main units use the recomputed main NAV at this block, including its disclosed valuation limits."",""Idle USDC uses the operator-authorized par fallback in both valuations."",""Held-unit value is floored to USDS base units, then converted and floored to feeder numeraire base units."",""Market risk and debt sensitivity describe the underlying main vault; they are not direct feeder borrowings.""]}","live","2026-08-27/goUSDC/attempt-9fa570574eb545848ec92fccbe5c6766/goUSDC-25850009"
"2026-08-28","25857181","0xefb45989f13d48f0a7953da6db003a8676241949531189b69cd25543b6ebc6a2","2026-08-28T23:59:59Z","goUSDC","0xFB3d942B51d11Ea088631D8d33c6f34968eE2076","USDC","0.990667","0.990892","0.991176","2.27","5.14","1572","2088","{""USDS"":""52044"",""USDT"":""16212""}","[""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035"",""call-0036""]}","{""USDS"":[""call-0018"",""call-0019""],""USDT"":[""call-0020"",""call-0021""]}","[""call-0022"",""call-0023"",""call-0024"",""call-0025""]","[""USDC/USD is unsourced. The feeds valuation assumes one USD per USDC for the feeder numeraire (ADR-006); this is an assumption, with no feed or feed age.""]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""],""vault"":[""Held main units use the recomputed main NAV at this block, including its disclosed valuation limits."",""Idle USDC uses the operator-authorized par fallback in both valuations."",""Held-unit value is floored to USDS base units, then converted and floored to feeder numeraire base units."",""Market risk and debt sensitivity describe the underlying main vault; they are not direct feeder borrowings.""]}","live","2026-08-28/goUSDC/attempt-629734c14a7b4b48a9ffb7766d5d0acc/goUSDC-25857181"
"2026-08-29","25864358","0x372e0f63f0ff0efb4fc4566a26e9ff27e03ee0b5ddfb3506f2fcea208809b9cf","2026-08-29T23:59:59Z","goUSDC","0xFB3d942B51d11Ea088631D8d33c6f34968eE2076","USDC","0.990260","0.991027","0.990746","7.75","4.91","3348","3684","{""USDS"":""55620"",""USDT"":""16176""}","[""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""]}","{""USDS"":[""call-0017"",""call-0018""],""USDT"":[""call-0019"",""call-0020""]}","[""call-0021"",""call-0022"",""call-0023"",""call-0024""]","[""USDC/USD is unsourced. The feeds valuation assumes one USD per USDC for the feeder numeraire (ADR-006); this is an assumption, with no feed or feed age.""]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""],""vault"":[""Held main units use the recomputed main NAV at this block, including its disclosed valuation limits."",""Idle USDC uses the operator-authorized par fallback in both valuations."",""Held-unit value is floored to USDS base units, then converted and floored to feeder numeraire base units."",""Market risk and debt sensitivity describe the underlying main vault; they are not direct feeder borrowings.""]}","live","2026-08-29/goUSDC/attempt-174ba3557cc74fd7907493ff8f7a0d59/goUSDC-25864358"
"2026-08-30","25871535","0xd28e5051104d6f578ddde8d76a17300bc6f0d3a2b31e36d5a6844bd66aa87e5b","2026-08-30T23:59:59Z","goUSDC","0xFB3d942B51d11Ea088631D8d33c6f34968eE2076","USDC","0.990688","0.991158","0.991319","4.74","6.37","1788","2220","{""USDS"":""59196"",""USDT"":""16152""}","[""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025"",""call-0026"",""call-0027"",""call-0028"",""call-0029"",""call-0030"",""call-0031"",""call-0032"",""call-0033"",""call-0034"",""call-0035""]}","{""USDS"":[""call-0017"",""call-0018""],""USDT"":[""call-0019"",""call-0020""]}","[""call-0021"",""call-0022"",""call-0023"",""call-0024""]","[""USDC/USD is unsourced. The feeds valuation assumes one USD per USDC for the feeder numeraire (ADR-006); this is an assumption, with no feed or feed age.""]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""],""vault"":[""Held main units use the recomputed main NAV at this block, including its disclosed valuation limits."",""Idle USDC uses the operator-authorized par fallback in both valuations."",""Held-unit value is floored to USDS base units, then converted and floored to feeder numeraire base units."",""Market risk and debt sensitivity describe the underlying main vault; they are not direct feeder borrowings.""]}","live","2026-08-30/goUSDC/attempt-09d03528b95842f0a776557509d7ba9f/goUSDC-25871535"
