date,block,block_hash,block_time,vault,vault_address,numeraire,reported,par,feeds,par_bps,feeds_bps,reported_age_seconds,main_reported_age_seconds,feed_ages_seconds,reported_sources,valuation_sources,feed_sources,main_reported_sources,assumptions,limitations,acquisition_mode,run_path
"2026-08-12","25742366","0xe7c587854915855ff620b92b3ee6ac4cb526ef6c78dc38624bd5516a12473365","2026-08-12T23:59:59Z","gtSkyLooping","0xeA40De595f099cA04695b0Ca105499E50AF77f92","USDS","1.000000000000000000","1.000000000000000000","1.000000000000000000","0.00","0.00","468","","{""USDS"":""77724"",""USDT"":""16524""}","[""call-0020"",""call-0021"",""call-0022"",""call-0023""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023""]}","{""USDS"":[""call-0016"",""call-0017""],""USDT"":[""call-0018"",""call-0019""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""]}","live","2026-08-12/gtSkyLooping/attempt-dda3e75243274fd2bc421fe5233bb4a8/gtSkyLooping-25742366"
"2026-08-13","25749550","0xa6161697878cf96588d31faa5ecb90b7e396eb64d74cb5799c8a26d56fe106b8","2026-08-13T23:59:59Z","gtSkyLooping","0xeA40De595f099cA04695b0Ca105499E50AF77f92","USDS","0.999775662020780582","0.996361581905083347","0.999874058941350931","-34.15","0.98","2784","","{""USDS"":""81288"",""USDT"":""16500""}","[""call-0022"",""call-0023"",""call-0024"",""call-0025""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025""]}","{""USDS"":[""call-0018"",""call-0019""],""USDT"":[""call-0020"",""call-0021""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""]}","live","2026-08-13/gtSkyLooping/attempt-c374733e619b456a9d289cea8dcfa7a8/gtSkyLooping-25749550"
"2026-08-14","25756720","0x208934d02c0655972d75eccac3592bd00b7b27a976c1de725e77a8f35d7d4510","2026-08-14T23:59:59Z","gtSkyLooping","0xeA40De595f099cA04695b0Ca105499E50AF77f92","USDS","0.998794941091450599","0.996458858286102031","1.000449238377312583","-23.39","16.56","1680","","{""USDS"":""2040"",""USDT"":""16464""}","[""call-0022"",""call-0023"",""call-0024"",""call-0025""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025""]}","{""USDS"":[""call-0018"",""call-0019""],""USDT"":[""call-0020"",""call-0021""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""]}","live","2026-08-14/gtSkyLooping/attempt-7a9d09da51dc4c479bc2025b9b6c2974/gtSkyLooping-25756720"
"2026-08-15","25763887","0x19897df0789a7221d982078e0870067fe936fd14fe9a8266ff336ea05b04c419","2026-08-15T23:59:59Z","gtSkyLooping","0xeA40De595f099cA04695b0Ca105499E50AF77f92","USDS","0.999927318592113990","0.996553818657093150","1.000379050535064943","-33.74","4.52","348","","{""USDS"":""5604"",""USDT"":""16440""}","[""call-0022"",""call-0023"",""call-0024"",""call-0025""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025""]}","{""USDS"":[""call-0018"",""call-0019""],""USDT"":[""call-0020"",""call-0021""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""]}","live","2026-08-15/gtSkyLooping/attempt-11c6267b3c074771967ab0750ec12f06/gtSkyLooping-25763887"
"2026-08-16","25771073","0x6a2649f5f57245dada400026600088fabd62446ddac0a4e70232703d23fa7894","2026-08-16T23:59:59Z","gtSkyLooping","0xeA40De595f099cA04695b0Ca105499E50AF77f92","USDS","1.000369501190754519","1.000373304386955368","1.000372433672725777","0.04","0.03","2748","","{""USDS"":""9168"",""USDT"":""16428""}","[""call-0021"",""call-0022"",""call-0023"",""call-0024""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024""]}","{""USDS"":[""call-0017"",""call-0018""],""USDT"":[""call-0019"",""call-0020""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""]}","live","2026-08-16/gtSkyLooping/attempt-01185243b0f74099ba40b0a5a834d066/gtSkyLooping-25771073"
"2026-08-17","25778250","0x4f2702fbe6f04e50e3ffbd7f07888a053a165fa96b43889da5a73fe4936e46f3","2026-08-17T23:59:59Z","gtSkyLooping","0xeA40De595f099cA04695b0Ca105499E50AF77f92","USDS","0.999677651100498106","0.995771769719294648","0.999308513086361293","-39.07","-3.69","1500","","{""USDS"":""12732"",""USDT"":""16416""}","[""call-0022"",""call-0023"",""call-0024"",""call-0025""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025""]}","{""USDS"":[""call-0018"",""call-0019""],""USDT"":[""call-0020"",""call-0021""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""]}","live","2026-08-17/gtSkyLooping/attempt-c2281c64a8ee4fa5b2e5f659863d4316/gtSkyLooping-25778250"
"2026-08-18","25785424","0x9621ff74628a4327a59a0e967bef3a0dd2eb3674dbb442c8235b9efab9e5847b","2026-08-18T23:59:59Z","gtSkyLooping","0xeA40De595f099cA04695b0Ca105499E50AF77f92","USDS","0.998213585573009904","0.995933927288843545","0.999368787384700947","-22.84","11.57","216","","{""USDS"":""16320"",""USDT"":""16392""}","[""call-0022"",""call-0023"",""call-0024"",""call-0025""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024"",""call-0025""]}","{""USDS"":[""call-0018"",""call-0019""],""USDT"":[""call-0020"",""call-0021""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""]}","live","2026-08-18/gtSkyLooping/attempt-600313a5a98b4cceb5129ccd22e7f354/gtSkyLooping-25785424"
"2026-08-19","25792601","0x510f460620d3c53520bbb3de38c052be2440c5bd82fd2254a130f8525f4e08c2","2026-08-19T23:59:59Z","gtSkyLooping","0xeA40De595f099cA04695b0Ca105499E50AF77f92","USDS","0.997661552568298414","0.997663532521231544","0.997662779738214579","0.02","0.01","2436","","{""USDS"":""19896"",""USDT"":""16368""}","[""call-0021"",""call-0022"",""call-0023"",""call-0024""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024""]}","{""USDS"":[""call-0017"",""call-0018""],""USDT"":[""call-0019"",""call-0020""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""]}","live","2026-08-19/gtSkyLooping/attempt-d393dee500884127ae3b404a38946cf5/gtSkyLooping-25792601"
"2026-08-20","25799779","0x0fd727d0eed3b9f4258ba30aee4cda0856cc9485413258016c8228d4e1d36548","2026-08-20T23:59:59Z","gtSkyLooping","0xeA40De595f099cA04695b0Ca105499E50AF77f92","USDS","0.997706546038108767","0.997706772689460943","0.997706562923176173","0.00","0.00","1164","","{""USDS"":""23460"",""USDT"":""16356""}","[""call-0021"",""call-0022"",""call-0023"",""call-0024""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024""]}","{""USDS"":[""call-0017"",""call-0018""],""USDT"":[""call-0019"",""call-0020""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""]}","live","2026-08-20/gtSkyLooping/attempt-7a5c0c06abd54300b093dddb1c04ab93/gtSkyLooping-25799779"
"2026-08-21","25806958","0xbbfaa4fcf345adbe0f3139c547cdb3b5dc1a4c2df7dcff405751fd1e059cdf28","2026-08-21T23:59:59Z","gtSkyLooping","0xeA40De595f099cA04695b0Ca105499E50AF77f92","USDS","0.997728458318157633","0.997729446074262809","0.997729246606893176","0.01","0.01","3348","","{""USDS"":""27048"",""USDT"":""16320""}","[""call-0021"",""call-0022"",""call-0023"",""call-0024""]","{""feeds"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024""],""par"":[""call-0001"",""call-0002"",""call-0003"",""call-0004"",""call-0005"",""call-0006"",""call-0007"",""call-0008"",""call-0009"",""call-0010"",""call-0011"",""call-0012"",""call-0013"",""call-0014"",""call-0015"",""call-0016"",""call-0017"",""call-0018"",""call-0019"",""call-0020"",""call-0021"",""call-0022"",""call-0023"",""call-0024""]}","{""USDS"":[""call-0017"",""call-0018""],""USDT"":[""call-0019"",""call-0020""]}","[]","[]","{""excluded"":[""Assets outside the vault address, including pending provisioner requests"",""Accrued but unclaimed fees""],""underlying"":null,""vault"":[""USDC/USD is not yet sourced in docs/OPERATOR-NOTES.md; value idle USDC at par in both valuations and disclose this in output."",""Borrow APY is an integer fixed-point display approximation; it is not used for accrual."",""Leverage is gross assets divided by equity. Sensitivity is gross debt value / equity * 10; increasing the debt price reduces equity."",""Oracle price() has no update timestamp; no market-oracle age is inferred. Ages below are for valuation feeds."",""DAI/USD not read: DAI balance at the pinned block is zero, so this feed is not used in valuation.""]}","live","2026-08-21/gtSkyLooping/attempt-0232f5f0e3f448249732c2ec747b449c/gtSkyLooping-25806958"
